<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20060613;000000;602;603.9;591;593;277
20060614;000000;617;617;574;574;17
20060615;000000;576.5;585;576.5;585;175
20060616;000000;588.2;591;582.5;582.5;102
20060619;000000;580;580;574.6;577.5;74
20060620;000000;579.9;579.9;573.5;573.5;185
20060621;000000;582;586;579.5;583.5;510
20060622;000000;592;602.5;591;591;787
20060623;000000;590.4;591.1;581.1;589.9;730
20060626;000000;591.1;594;587;592.4;1352
20060627;000000;596.9;599.2;594.2;599.2;1118
20060628;000000;588.8;594.2;587.4;588.2;66
20060629;000000;587.8;596;587.8;596;282
20060630;000000;603;618.5;600;618.5;1119
20060703;000000;626;633;625;633;1275
20060704;000000;640;640;626.6;628.5;60
20060705;000000;630;636.5;625;625;1024
20060706;000000;634.8;635;630;634;183
20060707;000000;635;642.7;635;639.5;541
20060710;000000;636;636;627.5;632;1267
20060711;000000;634.1;639;633.1;639;887
20060712;000000;648.8;655;646;655;2019
20060713;000000;656.5;663;654.9;663;1948
20060714;000000;667;675;665;675;3589
20060717;000000;682;685;652;652;7740
20060718;000000;657.9;659.8;645.6;658;5271
20060719;000000;634;655.5;622.5;652;8834
20060720;000000;638;647.9;638;647.9;2493
20060721;000000;632;643;628.8;642.5;4338
20060724;000000;626.4;626.5;608.5;609.1;7443
20060725;000000;626.5;628;622;622.9;5125
20060726;000000;623;624;618.7;624;2105
20060727;000000;633.5;644.1;631;643.4;6935
20060728;000000;634;642.3;630.5;642.3;3072
20060731;000000;640.5;640.5;634;634;2778
20060801;000000;636.5;642.5;635.3;642.5;4594
20060802;000000;653;660;651;660;6554
20060803;000000;662.9;662.9;647;649;6083
20060804;000000;650;660;649;658.5;5091
20060807;000000;653.5;656;650.5;654;2653
20060808;000000;649.4;650.7;645.5;649;3761
20060809;000000;643.5;655;642.2;654.5;7851
20060810;000000;656.9;657.5;643;644.5;4749
20060811;000000;643.5;647.9;640.2;647.5;5947
20060814;000000;633.6;635;627;632.4;11786
20060815;000000;633;635;623;627;10159
20060816;000000;629;635;628.6;632.5;8830
20060817;000000;635;635;626;626.5;7242
20060818;000000;616.2;621.9;614.5;616.8;14741
20060821;000000;620;629.5;620;627.2;9467
20060822;000000;629;630.7;623.5;625.5;7356
20060823;000000;624.8;632.3;624.2;626.1;7003
20060824;000000;625.5;628.2;622.4;622.4;5370
20060825;000000;624.3;626;621.9;621.9;4088
20060828;000000;624;625.2;615.8;617.4;1596
20060829;000000;618.3;619.1;609.9;609.9;8417
20060830;000000;610.5;621.9;610.5;617.2;14843
20060831;000000;621.2;627.5;620.3;624;8039
20060901;000000;627;628;621;624;7513
20060904;000000;627;627.8;626.5;626.5;1506
20060905;000000;629.5;638.8;626.5;637.3;7377
20060906;000000;638.6;639.5;635;638.8;8385
20060907;000000;635;636.4;617;617.8;6287
20060908;000000;617.3;618.5;607;607;7675
20060911;000000;605;607.2;595.1;604;10988
20060912;000000;605.7;606.9;598.1;602.9;7507
20060913;000000;589;602;588.5;597.1;15216
20060914;000000;600;604.5;594;604;13820
20060915;000000;592;594;581.3;594;18145
20060918;000000;586;593.4;578.5;587;10496
20060919;000000;594.9;594.9;588.1;592.5;8868
20060920;000000;585;593;580;593;14101
20060921;000000;587;592;584.5;590;14426
20060922;000000;594;600;593.7;595;10702
20060925;000000;597.2;597.9;591;591.8;10029
20060926;000000;597.6;600;594.1;600;9832
20060927;000000;599.7;604.5;599.7;604.2;10548
20060928;000000;607;612;607;611;8355
20060929;000000;610;610.9;605.5;610.9;14146
20061002;000000;609.9;611;607;609.4;8959
20061003;000000;603;603.8;590;594.4;11080
20061004;000000;584.5;588;580;581;17332
20061005;000000;574.9;581;568.2;579.4;14088
20061006;000000;579.5;579.7;567;577.5;15459
20061009;000000;583;587;582.1;584.8;3997
20061010;000000;584.3;587;575;581.7;5084
20061011;000000;577;585;576.1;585;9846
20061012;000000;581.5;582.5;576.6;578;4043
20061013;000000;583.1;595;583;595;9328
